scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
SUPER_1,1,20000,16823,528,18,nan,nan,nan,nan,nan
SUPER_1,10001,30000,23102,1210,67,nan,nan,nan,nan,nan
SUPER_1,20001,40000,29496,1370,69,nan,nan,nan,nan,nan
SUPER_1,30001,50000,36021,1062,21,nan,nan,nan,nan,nan
SUPER_1,40001,60000,48922,865,23,nan,nan,nan,nan,nan
SUPER_1,50001,70000,59476,859,51,nan,nan,nan,nan,nan
SUPER_1,60001,80000,69813,383,29,nan,nan,nan,nan,nan
SUPER_1,70001,90000,70008,15,nan,nan,nan,nan,nan,nan
SUPER_1,80001,100000,nan,0,nan,nan,nan,nan,nan,nan
SUPER_1,90001,110000,102815,183,nan,nan,nan,nan,nan,nan
SUPER_1,100001,120000,102815,183,nan,nan,nan,nan,nan,nan
SUPER_1,110001,130000,125800,43,nan,nan,nan,nan,nan,nan
SUPER_1,120001,140000,125800,43,nan,nan,nan,nan,nan,nan
SUPER_1,130001,150000,149636,262,20,nan,nan,nan,nan,nan
SUPER_1,140001,160000,150838,661,34,nan,nan,nan,nan,nan
SUPER_1,150001,170000,158876,1039,68,nan,nan,nan,nan,nan
SUPER_1,160001,180000,165783,899,54,nan,nan,nan,nan,nan
SUPER_1,170001,190000,171684,259,nan,nan,nan,nan,nan,nan
SUPER_1,180001,200000,199122,174,8,nan,nan,nan,nan,nan
SUPER_1,190001,210000,205748,6747,564,0.016,3.6624,-0.9913,-0.0862,-0.0706
SUPER_1,200001,220000,211026,14770,1409,0.1937,7.1133,-0.947,-0.0636,-0.0523
SUPER_1,210001,230000,220236,16909,1763,0.957,9.4753,-0.8165,-0.0541,-0.0455
SUPER_1,220001,240000,227443,11874,1254,1.1874,9.5398,-0.7786,-0.0673,-0.0567
SUPER_1,230001,250000,238674,6114,670,2.6031,4.7099,-0.2881,-0.0479,-0.0346
SUPER_1,240001,260000,250816,7342,723,4.1309,2.4494,0.2555,0.0665,0.0394
SUPER_1,250001,270000,261799,10967,1145,5.4306,4.4908,0.0947,0.0166,0.0126
SUPER_1,260001,280000,270950,14772,1659,6.1975,6.7095,-0.0397,-0.0061,-0.0046
SUPER_1,270001,290000,278468,12303,1236,3.608,4.3047,-0.088,-0.0117,-0.0086
SUPER_1,280001,300000,291755,9545,952,1.966,3.496,-0.2801,-0.0274,-0.0218
SUPER_1,290001,310000,300839,12061,1302,2.3592,10.9084,-0.6444,-0.0749,-0.0614
SUPER_1,300001,320000,309705,13111,1398,2.1354,16.9959,-0.7768,-0.1241,-0.097
SUPER_1,310001,330000,319745,12658,1113,1.1489,10.4668,-0.8022,-0.1293,-0.1002
SUPER_1,320001,340000,330486,14214,1334,1.8581,6.3175,-0.5454,-0.0541,-0.0444
SUPER_1,330001,350000,339381,13505,1605,5.2796,8.2609,-0.2202,-0.0326,-0.023
SUPER_1,340001,360000,349454,10007,1158,6.9962,6.3124,0.0514,0.0146,0.0081
SUPER_1,350001,370000,361112,11436,1458,11.9982,8.0027,0.1998,0.0529,0.0392
SUPER_1,360001,380000,366798,8114,1114,8.7354,5.4294,0.2334,0.0475,0.0395
SUPER_1,370001,390000,380613,3628,396,0.4859,1.0263,-0.3574,-0.0275,-0.0214
SUPER_1,380001,400000,393101,8287,876,3.2065,13.3044,-0.6116,-0.178,-0.1194
SUPER_1,390001,410000,401414,14313,1635,11.3036,25.4277,-0.3845,-0.0972,-0.0735
SUPER_1,400001,420000,409885,16408,1868,18.8314,22.8772,-0.097,-0.0212,-0.0176
SUPER_1,410001,430000,420076,16248,1734,19.2098,14.3625,0.1444,0.0362,0.029
SUPER_1,420001,440000,429932,16392,1735,17.6083,7.4549,0.4051,0.1108,0.0819
SUPER_1,430001,450000,439751,15313,1613,10.2057,30.0347,-0.4928,-0.1801,-0.1235
SUPER_1,440001,460000,447932,11846,1113,15.2702,28.9792,-0.3098,-0.1288,-0.0925
SUPER_1,450001,470000,458025,9602,768,17.2519,3.3553,0.6744,0.2059,0.1792
SUPER_1,460001,480000,470708,13182,1126,10.6534,6.0647,0.2745,0.067,0.0561
SUPER_1,470001,490000,479651,15812,1586,8.355,6.0806,0.1576,0.0281,0.0232
SUPER_1,480001,500000,489404,15158,1437,1.7426,4.0401,-0.3973,-0.0367,-0.0287
SUPER_1,490001,510000,499658,13267,982,0.7667,7.4626,-0.8137,-0.1123,-0.085
SUPER_1,500001,520000,511784,14521,1018,0.6026,8.6798,-0.8702,-0.0832,-0.0693
SUPER_1,510001,530000,519669,16708,1320,4.3194,11.3693,-0.4494,-0.0646,-0.0533
SUPER_1,520001,540000,530080,16377,1373,8.7677,12.2536,-0.1658,-0.0455,-0.0352
SUPER_1,530001,550000,539931,16809,1208,5.4887,8.8416,-0.234,-0.0426,-0.0335
SUPER_1,540001,560000,549803,14756,978,0.996,6.485,-0.7337,-0.0729,-0.0564
SUPER_1,550001,570000,560756,14197,1137,2.6943,8.8807,-0.5345,-0.0999,-0.0713
SUPER_1,560001,580000,569921,15077,1351,2.816,9.0861,-0.5268,-0.0894,-0.0657
SUPER_1,570001,590000,580624,15933,1236,4.5723,6.0469,-0.1389,-0.0222,-0.0166
SUPER_1,580001,600000,590076,17312,1259,6.5283,5.5891,0.0775,0.0134,0.01
SUPER_1,590001,610000,599998,17403,1252,3.7173,5.2124,-0.1674,-0.0192,-0.0156
SUPER_1,600001,620000,609902,17293,1125,2.5493,8.8125,-0.5512,-0.094,-0.0679
SUPER_1,610001,630000,619525,16478,1154,5.1498,9.9298,-0.317,-0.0781,-0.0531
SUPER_1,620001,640000,630011,16051,1242,6.0282,8.2139,-0.1535,-0.0292,-0.023
